room_type,segment,area_m2,ceiling_h,budget,required_lux,total_lumens,fixtures_count,fixture_type,fixture_lm,purpose,country,model_name,price_rub,norm_ref
Зал кинотеатра,administrative,352,5.5,12134,48,19008,12,Настенный линейный,1478,Зал кинотеатра,Тайвань,Юпитер BM17185,864,СНиП 23-05-95
Лестничная клетка,outdoor,19,0.0,1014,37,703,1,Настенный линейный,1635,Лестничная клетка,Китай,StreetLine KW4110,809,СП 52.13330.2016
Офис,administrative,75,7.3,29120,489,44560,13,Потолочный,3193,Офис,Турция,MaxLight NA2593,1915,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,148,12.6,23639,182,39865,14,Потолочный,2690,Обеденный зал (ресторан/столовая),США,ProLED KI7332,1479,СНиП 23-05-95
Цех деревообработки,industrial,785,9.5,494200,294,305796,24,Прожектор,12565,Цех деревообработки,Китай,Philips HM13221,18847,СП 52.13330.2016
Электромонтажный цех,industrial,325,10.9,337957,408,184977,51,Пылевлагозащищённый (IP65),3580,Электромонтажный цех,Тайвань,Osram ZS107,4510,СП 52.13330.2016
Коридор (общественный),outdoor,54,0.0,2141,74,3996,3,Настенный линейный,1222,Коридор (общественный),Германия,SafeExit TJ6501,659,СП 52.13330.2016
Лестничная клетка,outdoor,16,0.0,1384,35,560,1,Настенный линейный,1881,Лестничная клетка,Тайвань,Oculus XM14088,931,СП 52.13330.2016
Цех (ресторан/столовая),administrative,130,7.8,76976,327,52712,2,Промышленный (High-bay),21482,Цех (ресторан/столовая),США,Юпитер QC10596,34908,СП 52.13330.2016
Лестничная клетка,outdoor,21,0.0,736,35,735,1,Настенный линейный,1321,Лестничная клетка,Франция,MarketLED BP15171,594,СП 52.13330.2016
Музейный зал,administrative,364,8.1,193192,426,194605,52,Подвесной,3713,Музейный зал,Корея,ZetaLED ZR6224,2896,СП 52.13330.2016
Жилое помещение,domestic,12,2.9,1352,213,2556,1,Потолочный,2715,Жилое помещение,США,EcoLight XU1646,1221,СанПиН 2.2.1
Сад/парк,outdoor,2019,0.0,84228,31,62589,7,Консольный,8846,Сад/парк,Китай,Oculus DL4195,10703,СП 52.13330.2016
Производственные (точные работы),industrial,452,5.4,192134,474,239957,83,Встраиваемый,2876,Производственные (точные работы),Китай,LuxPro EG1703,2243,СП 52.13330.2016
Сад/парк,outdoor,909,0.0,25628,27,24543,4,Парковый фонарь,5448,Сад/парк,Италия,StreetLine YZ15890,5093,СП 52.13330.2016
Цех деревообработки,industrial,251,11.7,211197,316,113818,7,Прожектор,14853,Цех деревообработки,Германия,Philips OD14080,22279,СП 52.13330.2016
Производственные (общее),industrial,513,5.9,362003,256,150370,12,Взрывозащищённый,11980,Производственные (общее),Китай,LuxPro TK827,23361,СП 52.13330.2016
Производственные (точные работы),industrial,597,10.7,363135,428,353889,136,Встраиваемый,2593,Производственные (точные работы),Китай,Osram WE19103,2178,СП 52.13330.2016
Библиотека,administrative,50,7.7,14238,318,19636,7,Потолочный,2727,Библиотека,Италия,ZetaLED DZ18720,1636,СП 52.13330.2016
Производственные (общее),industrial,612,5.1,257034,263,177856,7,Промышленный (High-bay),24272,Производственные (общее),Турция,СветТех NE19889,36408,СП 52.13330.2016
Парковка,outdoor,989,0.0,74802,54,53406,5,Консольный,9934,Парковка,Тайвань,Oculus AU7768,12020,СП 52.13330.2016
Улица,outdoor,62,0.0,7138,96,5952,1,Парковый фонарь,6137,Улица,Турция,SafeExit XZ16827,6259,СП 52.13330.2016
Склад,industrial,143,5.3,42394,198,31570,2,Прожектор,13476,Склад,Турция,LuxPro QV17936,17518,СП 52.13330.2016
Стадион,outdoor,6612,0.0,1719803,211,1395132,131,Консольный,10579,Стадион,Тайвань,MarketLED ZF3774,11636,СНиП 23-05-95
Кафе,administrative,37,6.5,11297,298,12955,3,Подвесной,3691,Кафе,Корея,MaxLight GV17921,2878,СП 52.13330.2016
Кухня,domestic,14,2.7,1666,200,2800,1,Встраиваемый,2238,Кухня,Китай,EcoLight KP15784,1208,СП 52.13330.2016
Цех (ресторан/столовая),administrative,117,3.9,37971,326,39858,11,Пылевлагозащищённый (IP65),3591,Цех (ресторан/столовая),Франция,ПроСвет QR7134,3231,СП 52.13330.2016
Спальня,domestic,23,2.9,2096,150,3450,1,Потолочный,3439,Спальня,США,LumenPro EI12435,1891,СП 52.13330.2016
Жилое помещение,domestic,30,2.6,2242,182,5460,1,Потолочный,3411,Жилое помещение,Германия,Зенит PY3676,1705,СанПиН 2.2.1
Зал театра,administrative,583,5.2,93564,211,136544,71,Настенный линейный,1912,Зал театра,Италия,ZetaLED HQ7391,1032,СНиП 23-05-95
Производственные (точные работы),industrial,567,9.7,285955,471,356521,132,Встраиваемый,2698,Производственные (точные работы),США,СветТех AJ7917,1942,СП 52.13330.2016
Цех (ресторан/столовая),administrative,145,3.2,36200,280,41006,13,Пылевлагозащищённый (IP65),3035,Цех (ресторан/столовая),Франция,ПроСвет EP10991,2731,СП 52.13330.2016
Библиотека,administrative,184,3.6,56949,276,52307,14,Подвесной,3550,Библиотека,Россия,Юпитер DB3764,2999,СП 52.13330.2016
Санузел,domestic,7,2.7,2160,54,378,1,Потолочный,3484,Санузел,Италия,Зенит IU1912,1742,СП 52.13330.2016
Цех (ресторан/столовая),administrative,70,12.4,47597,321,33030,1,Промышленный (High-bay),24248,Цех (ресторан/столовая),Россия,ProLED RL2909,33341,СП 52.13330.2016
Улица,outdoor,266,0.0,31326,109,28994,6,Парковый фонарь,4351,Улица,Корея,SafeExit IR7656,4438,СП 52.13330.2016
Санузел,domestic,6,3.0,3552,54,324,1,Пылевлагозащищённый (IP65),3033,Санузел,Тайвань,EcoLight UU468,2456,СП 52.13330.2016
Жилое помещение,domestic,20,2.8,1097,201,4020,4,Настенный (бра),994,Жилое помещение,Россия,ЭРА OJ17669,238,СанПиН 2.2.1
Цех деревообработки,industrial,685,4.8,479053,327,244154,10,Промышленный (High-bay),23412,Цех деревообработки,США,LuxPro EC2365,38044,СП 52.13330.2016
Библиотека,administrative,146,3.1,34174,318,46660,28,Настенный линейный,1613,Библиотека,Франция,ZetaLED EK454,871,СП 52.13330.2016
Балкон/лоджия,domestic,3,2.9,736,96,288,1,Настенный линейный,1174,Балкон/лоджия,Тайвань,HomeLight KG9131,528,СП 52.13330.2016
Жилое помещение,domestic,28,2.9,2200,204,5712,1,Потолочный,2958,Жилое помещение,США,HomeLight JC18642,1479,СанПиН 2.2.1
Библиотека,administrative,152,4.5,33625,310,50654,26,Настенный линейный,1925,Библиотека,Китай,MaxLight RS5157,1039,СП 52.13330.2016
Больница (палата),administrative,18,11.0,3732,211,5317,2,Потолочный,2540,Больница (палата),Тайвань,ProLED KZ15618,1397,СП 52.13330.2016
Больница (палата),administrative,25,10.5,4334,191,6565,6,Настенный линейный,1035,Больница (палата),Италия,MaxLight ZX17515,558,СП 52.13330.2016
Сцена театра,administrative,282,9.6,670384,1074,402814,22,Прожектор,17764,Сцена театра,Тайвань,Юпитер EY11469,23093,СНиП 23-05-95
Лестничная клетка,outdoor,16,0.0,670,36,576,1,Настенный линейный,1312,Лестничная клетка,Италия,MarketLED PA8666,590,СП 52.13330.2016
Цех деревообработки,industrial,535,11.4,350271,294,223351,12,Прожектор,18044,Цех деревообработки,Корея,TechnoLight CY16652,23457,СП 52.13330.2016
Кухня,domestic,20,2.8,1630,194,3880,1,Встраиваемый,2307,Кухня,Россия,BrightLine EW14131,1522,СП 52.13330.2016
Музейный зал,administrative,126,7.8,50217,364,56871,20,Встраиваемый,2768,Музейный зал,Италия,MaxLight YE9482,1992,СП 52.13330.2016
Производственные (точные работы),industrial,302,6.3,263276,491,172748,9,Промышленный (High-bay),18374,Производственные (точные работы),Франция,Феникс IQ2623,27561,СП 52.13330.2016
Производственные (грубые работы),industrial,504,11.0,186238,179,126302,8,Прожектор,15421,Производственные (грубые работы),Италия,Osram ZE4646,21589,СП 52.13330.2016
Склад,industrial,754,7.5,287749,217,200432,9,Промышленный (High-bay),21223,Склад,Китай,СветТех GR5581,31834,СП 52.13330.2016
Коридор (общественный),outdoor,91,0.0,2639,69,6279,15,Аварийный,395,Коридор (общественный),Турция,Андромеда SI17315,128,СП 52.13330.2016
Аварийный выход,outdoor,11,0.0,141,48,528,2,Аварийный,190,Аварийный выход,США,Плутон XX3650,57,ГОСТ Р 55710-2013
Зал театра,administrative,294,4.6,29254,197,62551,34,Настенный линейный,1818,Зал театра,Турция,ПроСвет GL16175,818,СНиП 23-05-95
Концертный зал,administrative,847,11.8,294384,291,354926,102,Подвесной,3458,Концертный зал,Корея,MaxLight ST3277,2697,СНиП 23-05-95
Электромонтажный цех,industrial,151,6.7,134218,395,70679,7,Взрывозащищённый,9752,Электромонтажный цех,США,СветТех TC12812,17553,СП 52.13330.2016
Балкон/лоджия,domestic,6,2.7,637,99,594,1,Настенный линейный,1234,Балкон/лоджия,Франция,LumenPro ZV3864,610,СП 52.13330.2016
Улица,outdoor,844,0.0,113143,99,83556,9,Консольный,8971,Улица,Франция,SafeExit FE7935,11841,СП 52.13330.2016
Конференц-зал,administrative,113,7.3,42549,388,53270,18,Потолочный,2852,Конференц-зал,Тайвань,ZetaLED OT2387,1711,СП 52.13330.2016
Парковка,outdoor,918,0.0,51537,50,45900,2,Прожектор,16174,Парковка,США,SafeExit YL2543,19408,СП 52.13330.2016
Сад/парк,outdoor,696,0.0,16579,27,18792,1,Консольный,9837,Сад/парк,Россия,StreetLine QL6641,11902,СП 52.13330.2016
Конференц-зал,administrative,144,9.2,52788,406,76587,23,Потолочный,3207,Конференц-зал,Франция,ProLED XN17468,1763,СП 52.13330.2016
Коридор (жилой),domestic,17,2.8,305,27,459,1,Настенный (бра),737,Коридор (жилой),Россия,HomeLight ZQ18126,221,СП 52.13330.2016
Школа (класс),administrative,41,4.9,12162,376,16880,8,Встраиваемый,2003,Школа (класс),Россия,MaxLight RK19714,1442,СП 52.13330.2016
Школа (класс),administrative,40,3.5,13424,401,16441,5,Встраиваемый,3052,Школа (класс),Турция,ZetaLED XU8697,2197,СП 52.13330.2016
Электромонтажный цех,industrial,306,11.5,245469,399,173983,36,Пылевлагозащищённый (IP65),4824,Электромонтажный цех,Италия,Osram XT13824,6078,СП 52.13330.2016
Библиотека,administrative,110,3.7,28660,298,33927,10,Подвесной,3146,Библиотека,Италия,OptiLight XZ16576,2249,СП 52.13330.2016
Конференц-зал,administrative,146,12.5,87233,435,93677,31,Встраиваемый,2985,Конференц-зал,Италия,ProLED TV10096,1970,СП 52.13330.2016
Кухня,domestic,10,2.6,2140,209,2090,1,Встраиваемый,3135,Кухня,Турция,EcoLight YM11389,1692,СП 52.13330.2016
Школа (класс),administrative,44,3.8,12246,431,19722,7,Встраиваемый,2707,Школа (класс),Россия,ПроСвет MG14801,1624,СП 52.13330.2016
Конференц-зал,administrative,150,12.2,52776,438,95922,27,Потолочный,3498,Конференц-зал,Италия,ПроСвет AM10413,1749,СП 52.13330.2016
Склад,industrial,509,7.3,250008,195,120594,7,Промышленный (High-bay),16889,Склад,Германия,LuxPro BP720,27444,СП 52.13330.2016
Конференц-зал,administrative,180,11.0,93318,374,94248,28,Подвесной,3269,Конференц-зал,Россия,OptiLight OC3044,2337,СП 52.13330.2016
Сцена театра,administrative,275,6.1,225837,949,301426,89,Потолочный,3366,Сцена театра,Корея,MaxLight AI13401,2019,СНиП 23-05-95
Электромонтажный цех,industrial,285,11.9,467557,413,170083,13,Взрывозащищённый,12235,Электромонтажный цех,Турция,Osram UV12741,25693,СП 52.13330.2016
Балкон/лоджия,domestic,3,2.5,4763,91,273,1,Пылевлагозащищённый (IP65),4052,Балкон/лоджия,Италия,Зенит OQ6064,3646,СП 52.13330.2016
Кафе,administrative,99,12.8,38976,299,44105,13,Подвесной,3162,Кафе,Италия,ProLED LJ7621,2260,СП 52.13330.2016
Сцена театра,administrative,180,7.0,184580,959,207144,67,Потолочный,3074,Сцена театра,Корея,Юпитер HC12871,1998,СНиП 23-05-95
Концертный зал,administrative,549,9.4,192433,302,218853,55,Подвесной,3917,Концертный зал,Россия,ZetaLED EZ9613,3055,СНиП 23-05-95
Балкон/лоджия,domestic,4,2.6,6039,98,392,1,Пылевлагозащищённый (IP65),4599,Балкон/лоджия,США,HomeLight WP13772,4139,СП 52.13330.2016
Музейный зал,administrative,138,8.3,55181,368,64241,17,Подвесной,3764,Музейный зал,Турция,Юпитер KR14095,3180,СП 52.13330.2016
Жилое помещение,domestic,26,2.6,1687,194,5044,5,Настенный (бра),886,Жилое помещение,Тайвань,BrightLine ZA8224,292,СанПиН 2.2.1
Цех деревообработки,industrial,576,6.8,318952,303,207688,8,Промышленный (High-bay),24653,Цех деревообработки,США,Феникс RO6805,36979,СП 52.13330.2016
Производственные (грубые работы),industrial,737,9.8,275711,180,177764,12,Прожектор,14090,Производственные (грубые работы),Тайвань,Osram YU8981,19726,СП 52.13330.2016
Конференц-зал,administrative,143,8.2,50273,383,69008,17,Подвесной,3995,Конференц-зал,Тайвань,OptiLight ZJ18074,2856,СП 52.13330.2016
Гостиная,domestic,30,2.7,3057,190,5700,2,Потолочный,2817,Гостиная,Германия,HomeLight ZK14340,1408,СП 52.13330.2016
Производственные (точные работы),industrial,537,7.2,293183,493,320336,96,Встраиваемый,3319,Производственные (точные работы),Китай,Феникс QZ18286,2389,СП 52.13330.2016
Школа (класс),administrative,46,10.1,18560,430,26801,7,Потолочный,3362,Школа (класс),США,ProLED WT9238,1849,СП 52.13330.2016
Спальня,domestic,12,2.9,612,148,1776,2,Настенный (бра),693,Спальня,Корея,HomeLight DP380,207,СП 52.13330.2016
Лестничная клетка,outdoor,44,0.0,629,37,1628,8,Аварийный,200,Лестничная клетка,США,Плутон CG14977,60,СП 52.13330.2016
Цех деревообработки,industrial,489,9.0,239966,307,195159,16,Прожектор,11612,Цех деревообработки,Россия,СветТех IX18504,13934,СП 52.13330.2016
Больница (палата),administrative,23,6.2,3058,198,5282,2,Настенный линейный,1843,Больница (палата),Корея,Юпитер PN13619,1078,СП 52.13330.2016
Больница (палата),administrative,21,5.7,2252,192,4576,1,Потолочный,2863,Больница (палата),Италия,ZetaLED WF5194,1717,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,173,6.4,17195,158,31980,9,Потолочный,3258,Фойе театра/кинотеатра,Турция,OptiLight VH10231,1791,СП 52.13330.2016
Цех деревообработки,industrial,700,7.4,528940,322,274988,13,Промышленный (High-bay),19966,Цех деревообработки,Россия,LuxPro IL718,32444,СП 52.13330.2016
Зал театра,administrative,494,6.9,118641,213,125740,36,Потолочный,3428,Зал театра,Франция,Юпитер YX15796,2228,СНиП 23-05-95
Улица,outdoor,315,0.0,39305,106,33390,6,Парковый фонарь,4804,Улица,Корея,StreetLine DC4972,4491,СП 52.13330.2016
Цех (ресторан/столовая),administrative,134,3.9,59738,309,43269,11,Пылевлагозащищённый (IP65),3812,Цех (ресторан/столовая),Турция,OptiLight LP923,3773,СП 52.13330.2016
Зал театра,administrative,379,6.0,46299,213,92836,66,Настенный линейный,1404,Зал театра,Тайвань,OptiLight WG18740,694,СНиП 23-05-95
Лестничная клетка,outdoor,34,0.0,650,37,1258,1,Настенный линейный,1118,Лестничная клетка,Тайвань,Oculus RK1244,553,СП 52.13330.2016
Гостиная,domestic,22,2.9,2247,186,4092,1,Подвесной,3707,Гостиная,Тайвань,ЭРА ZW8335,1927,СП 52.13330.2016
Холодильный склад,industrial,280,4.5,66579,143,43043,10,Пылевлагозащищённый (IP65),3996,Холодильный склад,США,Osram HU14745,5034,СП 52.13330.2016
Спальня,domestic,11,2.5,493,147,1617,2,Настенный (бра),577,Спальня,Тайвань,HomeLight QR19330,173,СП 52.13330.2016
Кафе,administrative,72,8.8,19858,292,27120,8,Потолочный,3240,Кафе,Корея,Юпитер KF8292,2106,СП 52.13330.2016
Жилое помещение,domestic,21,2.7,1294,210,4410,1,Потолочный,2780,Жилое помещение,США,EcoLight DH5835,1251,СанПиН 2.2.1
Спальня,domestic,20,2.7,910,159,3180,3,Настенный (бра),904,Спальня,Италия,LumenPro DK4580,298,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,171,6.2,22614,186,36894,11,Потолочный,3354,Обеденный зал (ресторан/столовая),США,ZetaLED FY16970,2012,СНиП 23-05-95
Кухня,domestic,14,2.6,1945,194,2716,1,Встраиваемый,2483,Кухня,Тайвань,Зенит JJ5656,1489,СП 52.13330.2016
Больница (палата),administrative,24,11.7,4666,189,6509,4,Настенный линейный,1587,Больница (палата),Италия,MaxLight AI13889,856,СП 52.13330.2016
Стадион,outdoor,12151,0.0,3333045,210,2551710,255,Консольный,9980,Стадион,Италия,Oculus CW12938,12075,СНиП 23-05-95
Офис,administrative,33,8.0,16192,511,21078,8,Встраиваемый,2349,Офис,Германия,ZetaLED QH4913,1691,СП 52.13330.2016
Выставочный зал,administrative,382,11.6,257001,454,248002,79,Подвесной,3107,Выставочный зал,Турция,ProLED IB16999,2221,СП 52.13330.2016
Торговый зал,industrial,88,7.8,83376,824,89914,36,Встраиваемый,2444,Торговый зал,США,Philips PO12743,2199,СНиП 23-05-95
Цех деревообработки,industrial,483,10.0,467365,296,193006,10,Промышленный (High-bay),18066,Цех деревообработки,Италия,Osram RL647,31615,СП 52.13330.2016
Производственные (общее),industrial,181,4.2,127910,263,50459,2,Промышленный (High-bay),24966,Производственные (общее),Турция,Philips CS1424,46811,СП 52.13330.2016
Сад/парк,outdoor,2815,0.0,146849,30,84450,7,Консольный,10993,Сад/парк,Франция,Андромеда UO1704,15719,СП 52.13330.2016
Офис,administrative,65,6.5,22778,536,40937,16,Потолочный,2554,Офис,Турция,ПроСвет WQ1238,1277,СП 52.13330.2016
Улица,outdoor,128,0.0,15156,107,13696,1,Консольный,9712,Улица,Корея,MarketLED YO10091,10683,СП 52.13330.2016
Сад/парк,outdoor,2230,0.0,63419,29,64670,12,Парковый фонарь,4986,Сад/парк,Италия,MarketLED SQ11008,4238,СП 52.13330.2016
Цех деревообработки,industrial,371,7.1,177846,285,127410,10,Прожектор,12518,Цех деревообработки,Франция,СветТех UV7904,15021,СП 52.13330.2016
Цех (ресторан/столовая),administrative,70,7.1,30167,316,26654,6,Пылевлагозащищённый (IP65),3825,Цех (ресторан/столовая),Россия,ПроСвет JS14086,3442,СП 52.13330.2016
Гостиная,domestic,32,2.6,3964,207,6624,2,Потолочный,2722,Гостиная,Тайвань,LumenPro XA553,1497,СП 52.13330.2016
Коридор (общественный),outdoor,25,0.0,846,74,1850,1,Настенный линейный,1282,Коридор (общественный),Тайвань,Oculus CM12298,634,СП 52.13330.2016
Коридор (общественный),outdoor,95,0.0,2197,73,6935,18,Аварийный,370,Коридор (общественный),Китай,Андромеда MU1793,120,СП 52.13330.2016
Коридор (жилой),domestic,6,2.6,920,27,162,1,Настенный линейный,1405,Коридор (жилой),Франция,LumenPro UY17924,695,СП 52.13330.2016
Коридор (жилой),domestic,13,2.9,758,28,364,1,Настенный линейный,1588,Коридор (жилой),Италия,HomeLight XE3198,714,СП 52.13330.2016
Производственные (грубые работы),industrial,485,8.6,185410,191,118572,6,Прожектор,17447,Производственные (грубые работы),Италия,Osram TZ11456,24425,СП 52.13330.2016
Аварийный выход,outdoor,7,0.0,1179,50,350,1,Настенный линейный,1685,Аварийный выход,Китай,Oculus UK1483,834,ГОСТ Р 55710-2013
Концертный зал,administrative,922,11.8,445939,315,418219,124,Подвесной,3362,Концертный зал,Тайвань,OptiLight DQ8400,2403,СНиП 23-05-95
Холодильный склад,industrial,120,8.8,33574,146,22600,1,Прожектор,16550,Холодильный склад,Тайвань,Philips NF13533,24825,СП 52.13330.2016
Спальня,domestic,22,2.9,861,164,3608,5,Настенный (бра),626,Спальня,Франция,ЭРА PQ11503,150,СП 52.13330.2016
Склад,industrial,693,5.5,297416,183,142671,7,Промышленный (High-bay),19230,Склад,Тайвань,Philips IX6424,36056,СП 52.13330.2016
Кухня,domestic,16,2.8,2172,183,2928,1,Встраиваемый,2570,Кухня,Франция,BrightLine LN1553,1696,СП 52.13330.2016
Гостиная,domestic,30,2.6,2425,191,5730,1,Подвесной,3334,Гостиная,Франция,ЭРА CC1513,1733,СП 52.13330.2016
Санузел,domestic,4,2.8,2574,53,212,1,Пылевлагозащищённый (IP65),2612,Санузел,США,HomeLight RN17127,2350,СП 52.13330.2016
Лестничная клетка,outdoor,50,0.0,964,37,1850,1,Настенный линейный,1933,Лестничная клетка,США,StreetLine ID5569,956,СП 52.13330.2016
Производственные (грубые работы),industrial,764,11.5,395972,177,192699,19,Взрывозащищённый,9703,Производственные (грубые работы),Франция,СветТех MV8154,17465,СП 52.13330.2016
Балкон/лоджия,domestic,9,3.0,769,99,891,1,Настенный линейный,1280,Балкон/лоджия,Россия,LumenPro KF19212,633,СП 52.13330.2016
Санузел,domestic,3,2.9,4049,47,141,1,Пылевлагозащищённый (IP65),3346,Санузел,Корея,BrightLine KK12548,3312,СП 52.13330.2016
Гостиная,domestic,35,3.0,3831,189,6615,2,Потолочный,3091,Гостиная,Франция,HomeLight XT12452,1545,СП 52.13330.2016
Школа (класс),administrative,41,3.9,10314,377,16152,5,Потолочный,2808,Школа (класс),США,Юпитер LU17573,1825,СП 52.13330.2016
Сцена театра,administrative,188,10.7,354205,913,237726,12,Прожектор,18852,Сцена театра,Россия,ProLED VZ1317,20737,СНиП 23-05-95
Больница (палата),administrative,20,11.5,3804,208,5928,3,Настенный линейный,1573,Больница (палата),Турция,MaxLight EY13295,849,СП 52.13330.2016
Производственные (общее),industrial,844,5.4,482889,236,223086,12,Промышленный (High-bay),18572,Производственные (общее),Тайвань,LuxPro OL3935,30179,СП 52.13330.2016
Улица,outdoor,618,0.0,85817,106,65508,7,Консольный,8764,Улица,Китай,MarketLED BN1260,9640,СП 52.13330.2016
Офис,administrative,54,4.1,16807,452,25750,9,Потолочный,2600,Офис,Россия,ПроСвет VJ13332,1300,СП 52.13330.2016
Музейный зал,administrative,416,7.0,225396,399,199180,10,Прожектор,18806,Музейный зал,Тайвань,ProLED BJ17471,20686,СП 52.13330.2016
Улица,outdoor,132,0.0,17086,93,12276,1,Консольный,10695,Улица,США,SafeExit ST844,14117,СП 52.13330.2016
Сад/парк,outdoor,4835,0.0,152248,27,130545,24,Парковый фонарь,5361,Сад/парк,Италия,Oculus KZ18271,5012,СП 52.13330.2016
Торговый зал,industrial,37,4.1,28067,803,31345,8,Подвесной,3584,Торговый зал,Турция,TechnoLight TL14272,3028,СНиП 23-05-95
Офис,administrative,29,5.3,17203,524,16943,4,Подвесной,3787,Офис,США,MaxLight FV7088,2953,СП 52.13330.2016
Электромонтажный цех,industrial,141,8.8,93117,370,67299,18,Пылевлагозащищённый (IP65),3699,Электромонтажный цех,Италия,СветТех AD3716,3994,СП 52.13330.2016
Парковка,outdoor,698,0.0,33458,49,34202,2,Консольный,11570,Парковка,Корея,Oculus MO17248,13999,СП 52.13330.2016
Зал кинотеатра,administrative,404,8.3,12075,54,27597,25,Настенный линейный,1062,Зал кинотеатра,Турция,ПроСвет QE13998,477,СНиП 23-05-95
Обеденный зал (ресторан/столовая),administrative,77,11.1,13636,196,21204,6,Потолочный,3470,Обеденный зал (ресторан/столовая),США,Юпитер VT17353,2255,СНиП 23-05-95
Зал театра,administrative,326,7.5,49512,208,83064,29,Потолочный,2840,Зал театра,Франция,ZetaLED WL13989,1704,СНиП 23-05-95
Лестничная клетка,outdoor,20,0.0,1082,37,740,1,Настенный линейный,1505,Лестничная клетка,Франция,StreetLine CY6161,744,СП 52.13330.2016
Жилое помещение,domestic,20,2.6,1669,213,4260,1,Потолочный,2519,Жилое помещение,Германия,LumenPro TL4480,1385,СанПиН 2.2.1
Больница (палата),administrative,23,6.4,2114,214,5758,1,Потолочный,3312,Больница (палата),Италия,ПроСвет PU19322,1656,СП 52.13330.2016
Конференц-зал,administrative,86,6.3,40558,410,41077,17,Встраиваемый,2394,Конференц-зал,Тайвань,Юпитер TI111,1867,СП 52.13330.2016
Сцена театра,administrative,170,9.9,165559,960,219504,72,Потолочный,3021,Сцена театра,Турция,OptiLight EB1321,1661,СНиП 23-05-95
Гостиная,domestic,27,2.7,1768,211,5697,1,Потолочный,3324,Гостиная,Италия,Зенит US16136,1662,СП 52.13330.2016
Жилое помещение,domestic,23,3.0,1712,184,4232,8,Настенный (бра),511,Жилое помещение,Корея,BrightLine HV13522,168,СанПиН 2.2.1
Гостиная,domestic,31,2.8,2707,215,6665,1,Подвесной,3687,Гостиная,Германия,BrightLine PQ5079,2636,СП 52.13330.2016
Сцена театра,administrative,200,6.0,197147,980,225399,85,Потолочный,2646,Сцена театра,Франция,Юпитер LY8104,1719,СНиП 23-05-95
Производственные (точные работы),industrial,309,8.2,433927,478,186104,8,Промышленный (High-bay),21584,Производственные (точные работы),Корея,Philips AO1849,40470,СП 52.13330.2016
Коридор (общественный),outdoor,48,0.0,1097,80,3840,21,Аварийный,181,Коридор (общественный),США,MarketLED DD5321,45,СП 52.13330.2016
Библиотека,administrative,111,8.9,44685,325,46717,13,Подвесной,3509,Библиотека,Турция,ZetaLED MH4556,2737,СП 52.13330.2016
Лестничная клетка,outdoor,40,0.0,426,34,1360,6,Аварийный,213,Лестничная клетка,Россия,MarketLED NU7941,53,СП 52.13330.2016
Концертный зал,administrative,462,11.6,397522,322,212732,14,Прожектор,15108,Концертный зал,Тайвань,Юпитер PK1605,19640,СНиП 23-05-95
Цех деревообработки,industrial,227,5.1,166142,329,82524,5,Промышленный (High-bay),15886,Цех деревообработки,Германия,СветТех AK3089,23829,СП 52.13330.2016
Производственные (общее),industrial,865,6.7,707903,272,278806,14,Промышленный (High-bay),19439,Производственные (общее),Россия,Philips XJ10523,36448,СП 52.13330.2016
Лестничная клетка,outdoor,42,0.0,357,31,1302,4,Аварийный,307,Лестничная клетка,Корея,StreetLine WE2740,84,СП 52.13330.2016
Спальня,domestic,17,2.8,919,144,2448,4,Настенный (бра),597,Спальня,Турция,HomeLight UT18360,179,СП 52.13330.2016
Спальня,domestic,21,2.7,1139,155,3255,5,Настенный (бра),571,Спальня,Германия,EcoLight SI19747,154,СП 52.13330.2016
Коридор (жилой),domestic,5,2.8,1112,28,140,1,Настенный линейный,1725,Коридор (жилой),Россия,LumenPro GY14064,853,СП 52.13330.2016
Музейный зал,administrative,364,4.4,240503,434,169034,11,Прожектор,14314,Музейный зал,Китай,Юпитер UE12992,18608,СП 52.13330.2016
Сад/парк,outdoor,2474,0.0,63720,29,71746,15,Парковый фонарь,4552,Сад/парк,США,MarketLED YC16165,3869,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,192,12.5,41471,188,53241,15,Потолочный,3413,Обеденный зал (ресторан/столовая),Китай,ProLED TS14785,1877,СНиП 23-05-95
Коридор (общественный),outdoor,21,0.0,621,79,1659,7,Аварийный,222,Коридор (общественный),Италия,StreetLine FC2674,61,СП 52.13330.2016
Лестничная клетка,outdoor,42,0.0,1284,35,1470,1,Настенный линейный,1927,Лестничная клетка,Тайвань,MarketLED OT11701,867,СП 52.13330.2016
Сад/парк,outdoor,3243,0.0,104792,29,94047,12,Парковый фонарь,7397,Сад/парк,Италия,SafeExit XJ12340,7544,СП 52.13330.2016
Лестничная клетка,outdoor,16,0.0,1201,32,512,1,Настенный линейный,1647,Лестничная клетка,США,StreetLine TY14138,815,СП 52.13330.2016
Спальня,domestic,17,2.7,748,142,2414,3,Настенный (бра),632,Спальня,США,HomeLight CA1653,189,СП 52.13330.2016
Коридор (жилой),domestic,7,2.9,1244,32,224,1,Настенный линейный,1801,Коридор (жилой),Корея,BrightLine RW18620,891,СП 52.13330.2016
Сцена театра,administrative,227,6.8,178371,1015,274181,85,Потолочный,3208,Сцена театра,Тайвань,OptiLight FA18737,1764,СНиП 23-05-95
